Date/Time (PST),Battery Voltage (v),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2018-12-31 23:00,12.07,0.0,0.0,0.0,0.0
2018-12-31 22:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 21:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 20:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 19:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 18:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 17:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 16:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 15:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 14:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 13:00,12.09,0.0,0.0,0.0,0.0
2018-12-31 12:00,12.11,0.0,0.0,0.0,0.0
2018-12-31 11:00,12.19,0.0,0.0,0.0,0.0
2018-12-31 10:00,12.12,0.0,0.0,0.0,0.0
2018-12-31 09:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 08:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 07:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 06:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 05:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 04:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 03:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 02:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 01:00,12.08,0.0,0.0,0.0,0.0
2018-12-31 00:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 23:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 22:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 21:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 20:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 19:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 18:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 17:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 16:00,12.08,0.0,0.0,0.0,0.0
2018-12-30 15:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 14:00,12.1,0.0,0.0,0.0,0.0
2018-12-30 13:00,12.1,0.0,0.0,0.0,0.0
2018-12-30 12:00,12.11,0.0,0.0,0.0,0.0
2018-12-30 11:00,12.1,0.0,0.0,0.0,0.0
2018-12-30 10:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 09:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 08:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 07:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 06:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 05:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 04:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 03:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 02:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 01:00,12.09,0.0,0.0,0.0,0.0
2018-12-30 00:00,12.09,0.0,0.0,0.0,0.0
2018-12-29 23:00,12.09,0.0,0.0,0.0,0.0
2018-12-29 22:00,12.09,0.0,0.0,0.0,0.0
2018-12-29 21:00,12.09,0.0,0.0,0.0,0.0
2018-12-29 20:00,12.09,0.0,0.0,0.0,0.0
2018-12-29 19:00,12.09,0.0,0.0,0.0,0.0
2018-12-29 18:00,12.09,0.0,2.749,25.35,276.4
2018-12-29 17:00,12.09,0.0,2.217,11.91,192.4
2018-12-29 16:00,12.09,0.0,2.185,11.84,177.7
2018-12-29 15:00,12.09,0.0,3.302,20.39,211.6
2018-12-29 14:00,12.1,0.0,7.612,33.76,280.4
2018-12-29 13:00,12.14,0.292,9.08,34.93,283.9
2018-12-29 12:00,12.14,0.0,9.24,36.9,291.3
2018-12-29 11:00,12.14,0.073,9.91,31.42,296.2
2018-12-29 10:00,12.13,0.0,10.45,31.35,297.5
2018-12-29 09:00,12.09,0.365,13.46,36.97,297.5
2018-12-29 08:00,12.09,0.658,13.85,42.52,296.7
2018-12-29 07:00,12.09,0.877,16.12,42.6,293.1
2018-12-29 06:00,12.09,0.658,14.89,41.06,296.5
2018-12-29 05:00,12.09,1.607,18.55,46.03,296.5
2018-12-29 04:00,12.09,0.438,17.74,41.65,295.4
2018-12-29 03:00,12.1,0.073,17.02,40.26,293.0
2018-12-29 02:00,12.1,0.219,13.08,34.93,293.5
2018-12-29 01:00,12.1,0.0,10.65,33.32,288.0
2018-12-29 00:00,12.1,0.0,6.046,23.45,282.3
2018-12-28 23:00,12.1,0.0,4.072,16.22,275.2
2018-12-28 22:00,12.1,0.0,4.472,18.56,283.2
2018-12-28 21:00,12.1,0.0,3.905,17.32,282.8
2018-12-28 20:00,12.1,0.0,3.54,16.44,284.5
2018-12-28 19:00,12.1,0.0,2.789,16.51,273.2
2018-12-28 18:00,12.1,0.0,1.591,12.13,240.9
2018-12-28 17:00,12.1,0.0,2.742,13.44,284.0
2018-12-28 16:00,12.1,0.0,2.061,13.52,281.3
2018-12-28 15:00,12.11,0.0,2.078,11.91,296.5
