Date/Time (PST),Battery Voltage (v),Temperature (deg F),"24 Hour Snow ("")","Total Snow Depth ("")"
2019-06-24 09:00,13.19,34.79,-0.347,-3.377
2019-06-24 08:00,12.74,32.75,-0.15,-3.12
2019-06-24 07:00,12.67,32.15,-0.216,-2.988
2019-06-24 06:00,12.65,31.74,-0.216,-3.519
2019-06-24 05:00,12.6,31.1,-0.216,-3.519
2019-06-24 04:00,12.61,31.03,-0.216,-3.784
2019-06-24 03:00,12.65,31.37,-0.216,-3.651
2019-06-24 02:00,12.67,31.61,-0.216,-4.116
2019-06-24 01:00,12.7,32.67,-0.216,-4.049
2019-06-24 00:00,12.73,33.01,0.713,-4.315
2019-06-23 23:00,12.76,32.58,-0.216,-2.855
2019-06-23 22:00,12.78,33.78,-0.216,-2.854
2019-06-23 21:00,12.8,35.39,-6.312,-3.075
2019-06-23 20:00,12.85,36.79,0.264,-2.773
2019-06-23 19:00,12.92,38.26,-0.266,-2.706
2019-06-23 18:00,13.04,38.98,-0.192,-3.127
2019-06-23 17:00,13.22,41.06,-6.02,-4.15
2019-06-23 16:00,13.45,42.03,-0.309,-3.713
2019-06-23 15:00,13.66,41.46,-157.1,-2.949
2019-06-23 14:00,13.55,43.42,-0.309,-3.843
2019-06-23 13:00,14.29,41.01,-0.234,-3.537
2019-06-23 12:00,16.61,45.32,-0.184,-4.216
2019-06-23 11:00,15.98,42.24,-0.184,-3.355
2019-06-23 10:00,13.29,39.53,-0.194,-2.941
2019-06-23 09:00,13.04,39.88,-0.193,-3.533
2019-06-23 08:00,12.92,40.99,-0.266,-3.569
2019-06-23 07:00,12.69,38.69,-0.2,-3.436
2019-06-23 06:00,12.65,37.63,-0.2,-3.304
2019-06-23 05:00,12.67,37.71,-5.64,-3.305
2019-06-23 04:00,12.69,37.63,-0.2,-3.303
2019-06-23 03:00,12.71,37.73,-0.134,-4.63
2019-06-23 02:00,12.73,38.07,-0.134,-4.1
2019-06-23 01:00,12.75,38.0,-0.2,-6.222
2019-06-23 00:00,12.77,38.27,-0.2,-3.834
2019-06-22 23:00,12.79,38.89,1.259,-5.294
2019-06-22 22:00,12.79,39.0,-0.2,-3.436
2019-06-22 21:00,12.82,38.98,-5.839,-3.303
2019-06-22 20:00,12.86,39.46,-0.199,-3.231
2019-06-22 19:00,12.9,40.25,-0.184,-3.089
2019-06-22 18:00,13.02,41.77,-0.25,-3.485
