Date/Time (PST),Battery Voltage (v),Temperature (deg F),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2016-12-31 23:00,12.51,18.72,0.0,4.939,10.5,263.7
2016-12-31 22:00,12.53,18.52,0.767,6.284,12.23,263.3
2016-12-31 21:00,12.54,18.19,3.946,7.396,14.86,256.3
2016-12-31 20:00,12.56,19.44,0.132,4.938,12.12,267.9
2016-12-31 19:00,12.59,19.48,0.0,2.478,6.313,250.1
2016-12-31 18:00,12.61,18.59,0.0,2.644,8.04,252.8
2016-12-31 17:00,12.6,17.67,0.0,2.268,7.343,285.7
2016-12-31 16:00,12.66,16.62,0.0,3.628,9.56,266.7
2016-12-31 15:00,12.71,15.74,0.548,5.195,14.62,279.3
2016-12-31 14:00,12.85,15.38,0.789,7.315,17.84,270.9
2016-12-31 13:00,12.51,15.42,0.57,10.42,32.24,266.9
2016-12-31 12:00,12.51,13.59,3.968,17.06,33.69,268.6
2016-12-31 11:00,12.51,21.52,0.285,13.55,26.11,259.2
2016-12-31 10:00,12.51,20.35,0.68,14.43,24.59,261.3
2016-12-31 09:00,12.53,20.2,4.099,16.21,25.32,256.4
2016-12-31 08:00,12.54,19.85,9.12,19.39,27.49,257.6
2016-12-31 07:00,12.56,19.49,12.21,20.0,31.48,256.8
2016-12-31 06:00,12.58,19.76,3.88,17.26,30.36,270.1
2016-12-31 05:00,12.61,20.2,1.885,13.65,22.82,253.7
2016-12-31 04:00,12.63,19.4,4.055,9.63,20.54,259.0
2016-12-31 03:00,12.66,18.0,4.954,11.14,17.51,262.0
2016-12-31 02:00,12.72,16.82,7.19,12.7,19.62,265.0
2016-12-31 01:00,13.58,17.81,5.414,11.07,18.39,259.8
2016-12-31 00:00,12.52,19.66,2.828,9.17,17.51,255.7
2016-12-30 23:00,12.53,17.91,4.231,7.322,11.9,249.6
2016-12-30 22:00,12.53,18.59,0.0,5.495,10.28,255.4
2016-12-30 21:00,12.55,18.17,0.701,4.139,9.03,261.5
2016-12-30 20:00,12.56,18.41,1.403,4.769,9.34,240.5
2016-12-30 19:00,12.58,18.96,0.986,7.445,12.93,259.3
2016-12-30 18:00,12.6,19.2,2.762,9.82,14.99,265.3
2016-12-30 17:00,12.62,19.45,6.51,10.25,15.67,265.5
2016-12-30 16:00,12.64,19.46,6.028,11.34,16.75,257.0
2016-12-30 15:00,12.67,20.18,0.153,8.71,14.64,263.4
2016-12-30 14:00,12.71,20.29,1.534,9.15,15.04,261.4
2016-12-30 13:00,12.81,20.55,0.504,8.7,16.11,268.6
2016-12-30 12:00,12.53,20.84,0.416,6.739,17.51,276.1
2016-12-30 11:00,12.54,20.53,3.485,8.4,14.03,269.2
2016-12-30 10:00,12.56,20.62,1.315,8.81,13.88,259.1
2016-12-30 09:00,12.57,20.85,0.0,8.94,18.35,265.4
2016-12-30 08:00,12.59,20.75,2.345,10.42,23.17,270.3
2016-12-30 07:00,12.61,21.52,1.644,11.1,21.33,269.1
2016-12-30 06:00,12.62,21.88,0.745,11.42,24.38,270.3
2016-12-30 05:00,12.64,21.58,6.357,16.68,27.22,267.8
2016-12-30 04:00,12.66,21.23,9.03,15.04,20.67,263.6
2016-12-30 03:00,12.69,21.56,6.642,12.17,20.36,263.4
2016-12-30 02:00,12.72,21.46,6.16,13.85,25.95,268.5
2016-12-30 01:00,12.79,21.91,8.02,17.8,26.68,264.1
2016-12-30 00:00,13.57,21.95,9.78,17.91,27.18,264.1
2016-12-29 23:00,12.53,22.54,10.13,19.4,29.02,263.6
2016-12-29 22:00,12.53,22.7,13.2,25.09,38.51,259.6
