Date/Time (PST),Battery Voltage (v),Temperature (deg F),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2017-12-31 23:00,12.68,18.41,0.811,1.098,1.469,82.2
2017-12-31 22:00,12.69,14.27,1.184,1.505,1.995,80.6
2017-12-31 21:00,12.7,14.64,1.074,1.551,2.039,78.75
2017-12-31 20:00,12.71,15.28,0.943,1.513,2.258,80.8
2017-12-31 19:00,12.72,15.42,1.162,2.05,2.828,80.8
2017-12-31 18:00,12.73,15.7,1.776,2.544,3.047,77.99
2017-12-31 17:00,12.74,15.96,1.578,2.687,3.748,74.14
2017-12-31 16:00,12.76,16.82,1.951,2.752,3.573,76.11
2017-12-31 15:00,12.77,17.66,1.995,3.171,4.516,73.76
2017-12-31 14:00,12.8,18.18,1.425,3.076,4.494,72.49
2017-12-31 13:00,12.85,18.29,2.082,3.425,5.042,72.64
2017-12-31 12:00,12.87,17.74,2.411,3.664,5.524,72.1
2017-12-31 11:00,14.63,17.89,1.797,3.983,5.809,75.78
2017-12-31 10:00,12.6,17.69,2.17,3.74,5.261,81.4
2017-12-31 09:00,12.6,17.34,2.148,3.789,5.261,85.1
2017-12-31 08:00,12.61,17.0,2.499,4.226,6.379,83.9
2017-12-31 07:00,12.62,17.17,2.937,4.382,6.291,81.0
2017-12-31 06:00,12.64,17.06,2.937,4.526,6.883,84.9
2017-12-31 05:00,12.65,17.32,2.521,4.898,7.913,82.8
2017-12-31 04:00,12.66,16.65,5.151,7.005,8.64,84.0
2017-12-31 03:00,12.71,18.19,5.305,6.562,8.0,92.7
2017-12-31 02:00,12.81,18.76,5.655,7.404,9.23,91.3
2017-12-31 01:00,13.44,18.91,6.291,8.06,10.06,84.8
2017-12-31 00:00,12.59,20.08,5.612,6.991,9.43,86.0
2017-12-30 23:00,12.59,20.52,2.762,4.964,7.299,83.8
2017-12-30 22:00,12.59,21.44,0.0,2.773,5.677,133.7
2017-12-30 21:00,12.6,21.6,0.0,1.725,5.436,128.0
2017-12-30 20:00,12.6,23.73,0.0,3.517,7.847,243.8
2017-12-30 19:00,12.61,22.95,0.088,6.557,13.72,269.0
2017-12-30 18:00,12.62,24.09,2.63,6.66,12.3,253.9
2017-12-30 17:00,12.64,23.98,5.809,12.53,25.69,263.6
2017-12-30 16:00,12.63,25.18,10.04,18.5,26.83,267.2
2017-12-30 15:00,12.69,25.2,6.072,20.55,34.11,268.0
2017-12-30 14:00,12.75,25.79,7.409,27.49,41.87,272.3
2017-12-30 13:00,13.0,25.44,3.31,26.34,42.5,281.3
2017-12-30 12:00,12.59,25.5,5.831,27.54,44.23,271.7
2017-12-30 11:00,12.59,25.21,2.718,22.3,42.72,289.8
2017-12-30 10:00,12.6,25.07,3.178,21.84,48.07,293.9
2017-12-30 09:00,12.61,25.09,1.162,11.95,42.02,286.0
2017-12-30 08:00,12.61,24.79,0.329,21.0,46.82,284.7
2017-12-30 07:00,12.62,25.02,1.403,13.15,37.33,284.7
2017-12-30 06:00,12.63,25.12,1.184,15.62,49.98,286.6
2017-12-30 05:00,12.61,24.93,0.0,5.653,26.87,283.9
2017-12-30 04:00,12.63,25.16,0.0,0.0,0.0,0.0
2017-12-30 03:00,12.67,25.32,0.0,0.0,0.0,0.0
2017-12-30 02:00,12.71,25.89,0.0,0.0,0.0,0.0
2017-12-30 01:00,12.78,26.7,0.0,0.0,0.0,0.0
2017-12-30 00:00,13.53,27.75,0.0,0.0,0.0,0.0
2017-12-29 23:00,12.61,29.74,0.0,0.0,0.0,0.0
2017-12-29 22:00,12.61,31.84,0.0,0.0,0.0,0.0
2017-12-29 21:00,12.61,30.73,0.0,0.0,0.0,0.0
2017-12-29 20:00,12.62,30.02,0.0,0.0,0.0,0.0
2017-12-29 19:00,12.6,20.88,0.0,4.738,10.61,80.2
2017-12-29 18:00,12.64,21.66,5.546,8.75,12.17,81.6
2017-12-29 17:00,12.65,21.78,5.633,9.08,12.14,83.3
2017-12-29 16:00,12.66,23.75,3.814,8.11,13.61,83.2
2017-12-29 15:00,12.67,26.07,2.039,5.871,9.75,88.9
2017-12-29 14:00,12.69,29.21,0.877,5.366,8.22,85.5
2017-12-29 13:00,12.73,29.1,3.003,5.461,7.694,84.6
2017-12-29 12:00,12.9,28.51,0.0,1.157,6.51,85.3
2017-12-29 11:00,12.6,28.49,0.0,0.0,0.0,0.0
2017-12-29 10:00,12.6,29.4,0.0,0.0,0.0,0.0
2017-12-29 09:00,12.6,30.89,0.0,0.0,0.0,0.0
2017-12-29 08:00,12.61,32.1,0.0,0.0,0.0,0.0
2017-12-29 07:00,12.61,31.71,0.0,0.0,0.0,0.0
2017-12-29 06:00,12.62,31.74,0.0,0.0,0.0,0.0
2017-12-29 05:00,12.6,31.97,0.0,0.148,4.888,243.7
2017-12-29 04:00,12.64,31.59,0.0,4.323,11.6,257.5
2017-12-29 03:00,12.65,31.88,0.0,4.614,9.73,255.6
2017-12-29 02:00,12.67,31.67,0.0,4.103,9.36,243.8
2017-12-29 01:00,12.7,31.33,0.0,3.998,8.68,253.9
2017-12-29 00:00,12.77,30.21,0.0,2.33,7.935,248.8
2017-12-28 23:00,13.54,30.41,0.0,3.331,9.05,250.4
2017-12-28 22:00,12.6,29.81,0.022,3.84,8.11,245.5
2017-12-28 21:00,12.6,29.24,0.0,3.935,8.99,248.0
2017-12-28 20:00,12.6,28.87,0.0,3.464,8.29,246.7
2017-12-28 19:00,12.58,28.24,0.0,4.204,10.15,246.9
2017-12-28 18:00,12.61,28.26,0.0,3.334,7.19,249.5
2017-12-28 17:00,12.62,28.85,0.0,2.288,7.825,228.7
2017-12-28 16:00,12.62,29.33,0.0,2.041,8.9,248.6
2017-12-28 15:00,12.64,29.41,0.0,2.842,8.83,254.2
2017-12-28 14:00,12.66,29.54,0.088,3.873,9.91,247.8
2017-12-28 13:00,12.68,29.46,0.0,3.082,8.94,251.9
2017-12-28 12:00,12.73,29.98,0.0,4.394,10.94,246.5
2017-12-28 11:00,12.87,30.01,0.0,4.037,9.1,249.1
2017-12-28 10:00,12.6,29.79,0.044,3.664,9.07,253.5
2017-12-28 09:00,12.6,29.39,0.0,2.905,7.299,246.9
2017-12-28 08:00,12.6,29.16,0.0,2.924,8.09,251.2
2017-12-28 07:00,12.6,29.11,0.0,2.806,7.058,234.6
2017-12-28 06:00,12.61,28.87,0.0,4.317,10.41,241.5
2017-12-28 05:00,12.62,29.58,0.0,4.67,12.45,246.9
2017-12-28 04:00,12.62,29.63,0.0,3.568,9.69,249.1
2017-12-28 03:00,12.64,29.35,0.0,3.277,8.48,239.7
2017-12-28 02:00,12.65,29.41,0.0,3.741,11.6,243.4
2017-12-28 01:00,12.67,29.39,0.0,3.549,14.01,267.6
2017-12-28 00:00,12.71,28.87,0.0,2.484,8.81,255.9
2017-12-27 23:00,12.78,27.89,0.0,3.973,11.42,244.3
2017-12-27 22:00,13.48,26.49,0.0,3.88,10.37,249.8
2017-12-27 21:00,12.59,26.16,0.0,6.166,17.29,271.1
2017-12-27 20:00,12.6,26.35,0.986,10.5,19.0,264.2
2017-12-27 19:00,12.6,25.14,6.423,12.28,18.26,250.2
2017-12-27 18:00,12.6,24.46,0.263,7.681,19.55,268.8
2017-12-27 17:00,12.61,24.25,0.0,4.022,13.15,262.3
2017-12-27 16:00,12.62,23.99,0.0,5.323,17.47,273.0
2017-12-27 15:00,12.63,24.02,0.197,8.24,22.82,277.4
2017-12-27 14:00,12.65,23.95,0.0,7.791,22.8,279.0
2017-12-27 13:00,12.66,24.42,0.0,2.217,6.905,305.2
2017-12-27 12:00,12.68,24.51,0.0,3.462,10.96,262.8
2017-12-27 11:00,12.73,24.01,0.0,3.689,9.84,253.1
2017-12-27 10:00,12.83,22.8,0.0,3.76,10.15,244.5
2017-12-27 09:00,12.59,22.63,0.0,3.858,10.06,247.4
2017-12-27 08:00,12.59,21.3,0.0,4.772,10.37,256.1
2017-12-27 07:00,12.6,21.46,0.0,4.055,10.04,251.9
2017-12-27 06:00,12.6,21.71,0.0,3.286,10.76,270.2
2017-12-27 05:00,12.6,21.51,0.0,3.719,12.06,260.3
2017-12-27 04:00,12.61,20.41,0.0,3.999,8.75,250.5
2017-12-27 03:00,12.61,20.25,0.0,2.914,10.96,255.8
2017-12-27 02:00,12.62,20.45,0.0,3.172,15.02,278.6
2017-12-27 01:00,12.64,20.34,0.0,2.343,9.86,251.9
2017-12-27 00:00,12.65,20.21,0.0,6.4,18.81,271.9
2017-12-26 23:00,12.68,19.99,0.0,7.814,16.92,268.3
2017-12-26 22:00,12.73,19.84,0.0,5.453,15.15,269.2
2017-12-26 21:00,12.99,20.14,0.0,4.524,15.59,271.0
2017-12-26 20:00,12.6,20.3,0.0,2.01,9.78,239.5
2017-12-26 19:00,12.6,19.79,0.0,3.067,9.47,263.8
2017-12-26 18:00,12.61,19.31,0.0,2.447,9.34,236.9
2017-12-26 17:00,12.61,11.64,0.855,4.762,7.584,80.3
2017-12-26 16:00,12.62,12.4,0.636,3.574,5.414,87.5
2017-12-26 15:00,12.63,14.56,2.806,4.216,5.787,83.8
2017-12-26 14:00,12.64,13.6,2.017,4.797,7.212,83.7
2017-12-26 13:00,12.63,14.66,0.0,2.434,6.598,78.04
2017-12-26 12:00,12.66,13.71,0.0,0.0,0.0,0.0
2017-12-26 11:00,12.66,13.39,0.0,0.0,0.0,0.0
2017-12-26 10:00,12.71,11.86,0.0,0.0,0.0,0.0
2017-12-26 09:00,12.78,10.31,0.0,0.0,0.0,0.0
2017-12-26 08:00,13.5,9.47,0.0,0.0,0.0,0.0
2017-12-26 07:00,12.62,9.87,0.0,0.0,0.0,0.0
2017-12-26 06:00,12.62,11.15,0.0,0.0,0.0,0.0
2017-12-26 05:00,12.62,11.2,0.0,0.0,0.0,0.0
2017-12-26 04:00,12.63,13.13,0.0,0.0,0.0,0.0
2017-12-26 03:00,12.64,12.96,0.0,0.0,0.0,0.0
2017-12-26 02:00,12.64,15.45,0.0,0.0,0.0,0.0
2017-12-26 01:00,12.65,14.22,0.0,0.0,0.0,0.0
2017-12-26 00:00,12.66,13.32,0.0,0.0,0.0,0.0
2017-12-25 23:00,12.68,13.59,0.0,0.0,0.0,0.0
2017-12-25 22:00,12.71,14.68,0.0,0.0,0.0,0.0
2017-12-25 21:00,12.76,20.12,0.0,0.0,0.0,0.0
2017-12-25 20:00,12.99,19.86,0.0,0.364,3.858,270.6
2017-12-25 19:00,12.61,19.84,0.0,1.236,6.708,276.1
2017-12-25 18:00,12.61,19.88,0.0,2.797,10.5,278.3
2017-12-25 17:00,12.61,20.36,0.0,3.891,11.77,274.3
2017-12-25 16:00,12.63,20.35,0.0,4.31,10.08,257.2
2017-12-25 15:00,12.63,20.39,0.0,3.027,8.07,257.3
2017-12-25 14:00,12.64,20.68,0.0,2.9,8.31,261.3
2017-12-25 13:00,12.65,21.19,0.0,2.173,7.212,264.1
2017-12-25 12:00,12.66,21.49,0.0,2.806,7.387,267.6
2017-12-25 11:00,12.67,21.67,0.0,3.266,8.79,262.7
2017-12-25 10:00,12.69,22.1,0.0,4.061,8.81,268.3
2017-12-25 09:00,12.72,22.19,0.0,4.076,10.26,271.6
