Date/Time (PST),Battery Voltage (v),Temperature (deg F),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2015-12-31 23:00,12.67,8.29,8.4,10.49,14.84,93.3
2015-12-31 22:00,12.71,7.846,7.738,10.86,14.71,86.6
2015-12-31 21:00,12.72,7.808,6.291,8.79,11.97,87.3
2015-12-31 20:00,12.73,7.5,6.225,8.47,11.66,89.5
2015-12-31 19:00,12.75,7.107,5.436,8.7,12.67,89.7
2015-12-31 18:00,12.77,7.519,5.129,8.24,10.7,84.1
2015-12-31 17:00,12.79,8.61,5.59,7.726,11.09,84.1
2015-12-31 16:00,12.84,9.91,4.428,7.734,11.0,87.6
2015-12-31 15:00,13.62,11.22,4.143,6.496,9.93,75.82
2015-12-31 14:00,13.48,12.46,5.217,7.644,10.83,81.2
2015-12-31 13:00,12.56,11.97,5.721,9.44,12.95,80.8
2015-12-31 12:00,12.56,14.07,7.562,10.5,13.66,78.89
2015-12-31 11:00,12.54,9.64,7.387,10.49,14.12,74.45
2015-12-31 10:00,12.58,9.49,7.519,9.93,13.94,76.76
2015-12-31 09:00,12.58,7.863,7.08,9.87,13.17,76.15
2015-12-31 08:00,12.6,7.394,1.03,9.7,15.56,71.93
2015-12-31 07:00,12.6,7.478,3.77,5.082,6.751,70.73
2015-12-31 06:00,12.64,7.85,3.047,5.05,7.256,72.13
2015-12-31 05:00,12.63,8.2,3.047,5.091,7.979,70.82
2015-12-31 04:00,12.68,8.55,2.389,4.639,7.782,74.38
2015-12-31 03:00,12.71,8.81,2.082,3.691,5.392,75.12
2015-12-31 02:00,12.8,9.42,2.345,4.329,6.291,81.2
2015-12-31 01:00,12.54,9.6,3.091,4.848,8.11,77.6
2015-12-31 00:00,12.55,10.01,2.324,4.168,7.935,76.56
2015-12-30 23:00,12.55,10.36,2.324,3.609,5.129,73.73
2015-12-30 22:00,12.56,10.97,1.6,3.41,5.392,74.94
2015-12-30 21:00,12.58,11.61,2.521,3.877,6.729,80.0
2015-12-30 20:00,12.58,12.3,0.153,3.709,6.203,72.96
2015-12-30 19:00,12.6,12.94,1.556,3.357,6.269,76.23
2015-12-30 18:00,12.63,13.6,2.63,3.881,5.743,76.51
2015-12-30 17:00,12.62,14.15,1.819,4.257,6.532,77.77
2015-12-30 16:00,12.64,15.07,1.754,3.857,5.48,79.82
2015-12-30 15:00,12.7,18.87,0.964,3.055,5.502,76.84
2015-12-30 14:00,12.73,20.76,0.0,1.747,5.94,80.4
2015-12-30 13:00,13.01,19.61,0.0,0.0,0.0,0.0
2015-12-30 12:00,12.55,20.96,0.0,0.0,0.0,0.0
2015-12-30 11:00,12.55,18.79,0.0,0.0,0.0,0.0
2015-12-30 10:00,12.56,20.07,0.0,0.0,0.0,0.0
2015-12-30 09:00,12.55,16.89,0.0,0.0,0.0,0.0
2015-12-30 08:00,12.57,12.39,0.0,0.0,0.0,0.0
2015-12-30 07:00,12.58,12.8,0.0,0.0,0.0,0.0
2015-12-30 06:00,12.59,12.78,0.0,0.0,0.0,0.0
2015-12-30 05:00,12.61,13.03,0.0,0.0,0.0,0.0
2015-12-30 04:00,12.6,12.64,0.0,0.0,0.0,0.0
2015-12-30 03:00,12.65,12.04,0.0,0.0,0.0,0.0
2015-12-30 02:00,12.66,12.93,0.0,0.0,0.0,0.0
2015-12-30 01:00,12.74,13.04,0.0,0.0,0.0,0.0
2015-12-30 00:00,13.56,14.06,0.0,0.0,0.0,0.0
2015-12-29 23:00,12.52,14.48,0.0,0.0,0.0,0.0
2015-12-29 22:00,12.53,15.2,0.0,0.0,0.0,0.0
2015-12-29 21:00,12.55,15.68,0.0,0.0,0.0,0.0
2015-12-29 20:00,12.54,16.02,0.0,0.0,0.0,0.0
2015-12-29 19:00,12.55,16.26,0.0,0.0,0.0,0.0
2015-12-29 18:00,12.58,16.5,0.0,0.0,0.0,0.0
2015-12-29 17:00,12.59,17.08,0.0,0.0,0.0,0.0
2015-12-29 16:00,12.61,18.07,0.0,0.0,0.0,0.0
2015-12-29 15:00,12.65,19.33,0.0,0.0,0.0,0.0
2015-12-29 14:00,12.66,20.23,0.0,0.0,0.0,0.0
2015-12-29 13:00,12.7,21.69,0.0,0.0,0.0,0.0
2015-12-29 12:00,12.86,21.01,0.0,0.0,0.0,0.0
2015-12-29 11:00,12.55,21.97,0.0,0.0,0.0,0.0
2015-12-29 10:00,12.54,19.34,0.0,0.0,0.0,0.0
2015-12-29 09:00,12.56,18.49,0.0,0.0,0.0,0.0
2015-12-29 08:00,12.57,17.64,0.0,0.0,0.0,0.0
2015-12-29 07:00,12.58,17.84,0.0,0.0,0.0,0.0
2015-12-29 06:00,12.59,18.45,0.0,0.0,0.0,0.0
2015-12-29 05:00,12.61,18.82,0.0,0.0,0.0,0.0
2015-12-29 04:00,12.62,18.74,0.0,0.0,0.0,0.0
2015-12-29 03:00,12.65,18.69,0.0,0.0,0.0,0.0
2015-12-29 02:00,12.67,18.43,0.0,0.0,0.0,0.0
2015-12-29 01:00,12.69,18.71,0.0,0.0,0.0,0.0
2015-12-29 00:00,12.75,18.43,0.0,0.0,0.0,0.0
2015-12-28 23:00,13.59,19.22,0.0,0.0,0.0,0.0
2015-12-28 22:00,12.56,19.3,0.0,0.0,0.0,0.0
2015-12-28 21:00,12.58,19.63,0.0,0.0,0.0,0.0
2015-12-28 20:00,12.59,19.76,0.0,0.0,0.0,0.0
2015-12-28 19:00,12.6,20.42,0.0,0.0,0.0,0.0
2015-12-28 18:00,12.61,20.76,0.0,0.0,0.0,0.0
2015-12-28 17:00,12.63,20.98,0.0,0.0,0.0,0.0
2015-12-28 16:00,12.64,21.15,0.0,0.522,2.565,241.1
2015-12-28 15:00,12.66,21.55,0.0,2.668,4.406,253.3
2015-12-28 14:00,12.68,21.95,1.381,2.481,4.318,253.6
2015-12-28 13:00,12.71,22.4,0.526,1.823,3.507,250.4
2015-12-28 12:00,12.75,22.6,0.899,1.979,3.354,255.6
2015-12-28 11:00,12.88,22.33,1.315,3.072,4.735,255.5
2015-12-28 10:00,12.56,23.05,0.0,2.307,4.209,257.1
2015-12-28 09:00,12.56,22.66,0.504,2.576,5.151,256.7
2015-12-28 08:00,12.56,22.64,0.0,2.613,4.976,255.3
2015-12-28 07:00,12.57,22.66,0.0,2.929,5.918,257.2
2015-12-28 06:00,12.57,22.53,1.381,4.129,7.782,253.2
2015-12-28 05:00,12.58,22.57,0.197,4.925,8.22,261.9
2015-12-28 04:00,12.59,22.69,1.271,4.447,8.04,261.5
2015-12-28 03:00,12.61,22.84,0.11,5.461,11.73,262.5
2015-12-28 02:00,12.63,22.74,0.833,7.307,14.34,263.9
2015-12-28 01:00,12.65,22.19,0.0,1.887,5.809,68.15
2015-12-28 00:00,12.67,15.7,2.455,3.838,5.195,79.98
2015-12-27 23:00,12.72,15.17,3.814,5.143,6.466,79.67
2015-12-27 22:00,12.99,14.76,2.565,4.322,5.875,76.19
2015-12-27 21:00,12.58,14.19,2.696,4.164,5.458,74.57
2015-12-27 20:00,12.6,14.03,2.893,4.004,5.414,73.97
2015-12-27 19:00,12.61,14.25,3.266,4.457,5.831,74.63
2015-12-27 18:00,12.62,13.91,2.718,4.568,6.313,75.35
2015-12-27 17:00,12.64,14.28,3.222,4.657,6.664,75.94
2015-12-27 16:00,12.64,13.93,4.143,5.556,7.234,78.62
2015-12-27 15:00,12.66,14.29,4.494,5.767,8.04,77.19
2015-12-27 14:00,12.68,14.32,4.011,5.341,7.343,74.85
2015-12-27 13:00,12.7,14.51,3.661,5.193,6.708,77.61
2015-12-27 12:00,12.73,14.84,1.491,4.32,5.875,78.04
2015-12-27 11:00,12.76,14.76,2.937,4.69,6.423,78.95
2015-12-27 10:00,12.93,14.2,2.828,5.51,8.15,82.5
2015-12-27 09:00,12.55,13.31,4.8,6.581,9.12,81.9
2015-12-27 08:00,12.54,13.45,4.274,6.233,8.94,79.96
2015-12-27 07:00,12.53,13.72,5.875,7.355,9.43,84.0
2015-12-27 06:00,12.53,13.64,4.735,7.174,9.14,85.2
2015-12-27 05:00,12.53,12.96,3.902,6.452,9.03,78.04
2015-12-27 04:00,12.54,12.4,4.844,7.189,10.15,83.0
2015-12-27 03:00,12.54,11.81,5.348,7.28,10.19,86.4
2015-12-27 02:00,12.54,10.5,4.231,6.588,9.49,86.4
2015-12-27 01:00,12.56,10.86,4.428,6.08,7.869,86.9
2015-12-27 00:00,12.6,12.61,1.622,4.619,10.72,88.2
2015-12-26 23:00,12.63,10.87,1.797,3.056,4.362,78.53
2015-12-26 22:00,12.68,10.51,2.477,3.766,4.8,79.6
2015-12-26 21:00,12.88,10.62,2.28,3.84,5.765,80.3
2015-12-26 20:00,12.51,11.31,2.915,4.563,5.896,87.4
2015-12-26 19:00,12.53,13.13,2.082,4.648,6.488,85.5
2015-12-26 18:00,12.54,12.84,3.156,5.172,6.839,80.6
2015-12-26 17:00,12.54,14.3,4.757,6.256,7.409,82.1
2015-12-26 16:00,12.54,15.37,4.494,5.839,7.277,81.6
2015-12-26 15:00,12.55,16.31,4.231,5.98,7.497,82.2
2015-12-26 14:00,12.57,17.82,3.639,5.303,6.664,79.83
2015-12-26 13:00,12.59,18.07,3.113,5.35,7.299,82.6
2015-12-26 12:00,12.61,18.43,2.872,4.989,7.321,83.7
2015-12-26 11:00,12.63,18.99,2.521,4.808,7.234,81.4
2015-12-26 10:00,12.67,18.73,0.0,1.847,6.51,103.6
2015-12-26 09:00,12.75,16.69,3.354,4.882,7.409,86.5
2015-12-26 08:00,13.58,15.46,2.74,5.748,8.7,83.9
2015-12-26 07:00,12.54,15.06,0.0,2.808,8.04,201.0
2015-12-26 06:00,12.54,15.9,0.0,0.556,3.726,212.6
2015-12-26 05:00,12.54,16.61,0.0,0.553,3.595,212.6
2015-12-26 04:00,12.55,16.89,0.0,1.275,7.891,221.1
2015-12-26 03:00,12.55,17.71,0.0,3.764,13.57,247.5
2015-12-26 02:00,12.56,17.91,0.0,1.474,4.647,233.2
2015-12-26 01:00,12.59,17.4,0.0,2.328,8.59,241.7
2015-12-26 00:00,12.61,17.68,0.0,1.041,4.779,230.9
2015-12-25 23:00,12.62,17.91,0.0,1.876,11.71,245.0
2015-12-25 22:00,12.66,18.16,0.0,4.313,13.39,257.5
2015-12-25 21:00,12.71,18.81,0.0,2.564,12.06,231.4
2015-12-25 20:00,12.86,18.88,0.0,1.915,7.124,234.2
2015-12-25 19:00,12.54,19.01,0.0,2.845,7.891,246.2
2015-12-25 18:00,12.54,19.23,0.0,3.469,10.52,241.0
2015-12-25 17:00,12.54,19.19,0.0,3.623,13.44,234.5
2015-12-25 16:00,12.55,19.73,0.0,2.822,8.77,245.8
2015-12-25 15:00,12.55,19.87,0.0,3.149,10.76,247.6
2015-12-25 14:00,12.56,20.36,1.907,5.599,10.92,262.5
2015-12-25 13:00,12.58,19.61,0.482,2.787,6.51,242.6
2015-12-25 12:00,12.6,21.36,0.0,2.307,8.09,232.4
2015-12-25 11:00,12.63,20.45,0.0,2.295,6.072,248.2
2015-12-25 10:00,12.65,19.1,1.622,6.498,14.27,262.1
2015-12-25 09:00,12.68,17.88,1.644,6.804,13.22,265.5
2015-12-25 08:00,12.74,17.75,3.025,6.07,8.75,264.0
2015-12-25 07:00,13.52,18.16,2.587,6.481,10.3,262.6
2015-12-25 06:00,12.54,18.42,3.178,8.64,14.29,262.0
2015-12-25 05:00,12.53,19.17,1.491,6.106,13.61,263.4
2015-12-25 04:00,12.55,18.75,0.0,4.333,9.6,255.3
2015-12-25 03:00,12.55,19.24,4.011,7.849,12.25,263.9
2015-12-25 02:00,12.56,19.41,2.937,6.585,11.31,262.6
2015-12-25 01:00,12.58,19.7,2.477,7.151,12.82,262.0
2015-12-25 00:00,12.6,19.59,1.688,5.488,9.43,262.5
2015-12-24 23:00,12.62,19.82,2.828,8.33,13.11,262.6
2015-12-24 22:00,12.64,20.12,2.85,7.851,13.35,263.9
2015-12-24 21:00,12.67,20.3,1.162,4.895,8.31,260.3
2015-12-24 20:00,12.71,20.7,0.943,6.183,11.9,258.1
2015-12-24 19:00,12.82,20.61,1.863,9.0,14.49,262.3
2015-12-24 18:00,12.55,20.42,0.0,5.452,15.34,239.2
2015-12-24 17:00,12.55,20.57,0.0,0.873,6.773,201.6
2015-12-24 16:00,12.55,21.21,0.0,1.453,5.348,201.6
2015-12-24 15:00,12.55,21.88,0.0,1.833,7.979,218.0
2015-12-24 14:00,12.55,22.56,0.0,1.324,8.15,211.1
2015-12-24 13:00,12.56,22.72,0.0,3.353,13.44,246.2
2015-12-24 12:00,12.58,22.63,0.0,0.997,6.751,203.6
2015-12-24 11:00,12.59,23.23,0.0,1.701,6.883,228.7
2015-12-24 10:00,12.62,22.73,0.0,1.38,7.365,212.5
2015-12-24 09:00,12.64,21.66,0.0,0.565,3.989,193.9
2015-12-24 08:00,12.67,20.77,0.0,0.762,4.296,193.9
2015-12-24 07:00,12.72,20.85,0.0,3.016,9.71,238.5
2015-12-24 06:00,13.07,20.75,0.0,2.35,12.65,217.1
2015-12-24 05:00,12.55,20.97,0.0,1.107,6.444,203.2
2015-12-24 04:00,12.54,21.26,0.0,0.899,3.968,203.2
2015-12-24 03:00,12.55,21.32,0.0,0.853,4.45,203.2
2015-12-24 02:00,12.55,21.41,0.0,1.274,5.787,203.1
2015-12-24 01:00,12.56,21.55,0.0,2.349,8.86,207.4
2015-12-24 00:00,12.58,21.66,0.0,2.071,8.42,223.2
2015-12-23 23:00,12.59,21.84,0.0,2.271,9.21,220.1
2015-12-23 22:00,12.61,22.04,0.0,1.858,8.88,204.7
2015-12-23 21:00,12.64,22.11,0.0,1.644,14.36,193.4
2015-12-23 20:00,12.65,22.07,0.0,1.37,6.598,184.4
2015-12-23 19:00,12.7,22.18,0.0,1.247,5.458,184.4
2015-12-23 18:00,12.79,21.99,0.0,0.735,4.472,184.4
2015-12-23 17:00,12.52,21.95,0.0,0.718,5.962,184.4
2015-12-23 16:00,12.54,22.08,0.0,0.783,5.107,184.5
2015-12-23 15:00,12.54,21.82,0.0,0.755,6.335,184.5
2015-12-23 14:00,12.54,21.72,0.0,0.98,8.7,189.5
2015-12-23 13:00,12.54,22.45,0.0,2.896,8.94,227.3
2015-12-23 12:00,12.55,22.34,0.0,3.245,9.07,236.6
2015-12-23 11:00,12.54,22.76,0.0,4.419,10.92,239.9
2015-12-23 10:00,12.56,22.33,0.0,2.665,8.57,227.8
2015-12-23 09:00,12.59,21.81,0.0,2.186,7.847,216.5
2015-12-23 08:00,12.6,21.21,0.0,2.446,9.38,228.8
2015-12-23 07:00,12.65,21.1,0.0,2.874,9.38,235.8
2015-12-23 06:00,12.69,21.21,0.0,3.758,11.97,252.3
2015-12-23 05:00,12.83,21.19,0.0,3.395,11.44,224.6
2015-12-23 04:00,12.55,21.3,0.0,3.696,12.32,220.7
2015-12-23 03:00,12.56,21.32,0.0,1.769,9.18,199.8
2015-12-23 02:00,12.56,20.96,0.0,1.111,7.562,193.0
2015-12-23 01:00,12.56,20.92,0.0,2.025,8.26,181.5
2015-12-23 00:00,12.56,19.99,0.0,2.677,7.672,89.9
2015-12-22 23:00,12.57,20.04,1.271,4.234,8.42,85.8
2015-12-22 22:00,12.58,20.29,1.052,3.789,7.935,86.3
2015-12-22 21:00,12.6,20.34,0.0,2.735,8.48,74.64
2015-12-22 20:00,12.62,20.03,0.482,4.728,13.46,111.3
2015-12-22 19:00,12.65,20.06,1.403,2.6,3.902,225.7
2015-12-22 18:00,12.67,20.23,1.907,3.475,6.203,225.7
2015-12-22 17:00,12.73,20.81,0.0,1.31,3.222,225.8
