Date/Time (PST),Battery Voltage (v),Temperature (deg F),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2019-05-14 07:00,12.8,37.21,0.0,4.66,20.34,250.3
2019-05-14 06:00,12.84,44.51,0.0,4.046,10.11,278.6
2019-05-14 05:00,12.94,43.41,0.723,7.701,15.02,272.7
2019-05-14 04:00,13.57,43.25,4.34,10.05,18.87,271.9
2019-05-14 03:00,12.64,42.71,3.288,9.44,17.34,275.2
2019-05-14 02:00,12.66,43.6,3.529,10.06,16.29,274.3
2019-05-14 01:00,12.66,43.74,5.305,12.57,20.67,274.4
2019-05-14 00:00,12.67,43.52,2.521,10.58,17.29,274.9
2019-05-13 23:00,12.69,44.04,0.745,4.236,10.85,307.3
2019-05-13 22:00,12.71,44.01,1.228,5.447,13.37,295.3
2019-05-13 21:00,12.73,44.63,2.85,7.222,11.88,286.9
2019-05-13 20:00,12.75,44.44,1.929,6.551,10.3,275.5
2019-05-13 19:00,12.77,48.59,0.11,4.762,8.88,272.9
2019-05-13 18:00,12.79,49.89,4.231,9.2,13.94,273.4
2019-05-13 17:00,12.82,49.06,0.153,7.013,16.31,282.5
2019-05-13 16:00,12.92,48.39,0.022,4.931,14.07,283.1
2019-05-13 15:00,13.49,50.65,0.0,3.646,11.99,275.0
2019-05-13 14:00,12.64,52.98,0.0,3.145,9.54,282.3
2019-05-13 13:00,12.64,50.54,0.0,2.815,9.89,286.7
2019-05-13 12:00,12.64,48.19,0.0,6.168,16.07,283.9
2019-05-13 11:00,12.65,47.41,0.0,5.481,14.8,291.5
2019-05-13 10:00,12.65,45.77,0.0,6.632,15.91,283.8
2019-05-13 09:00,12.66,46.22,0.0,4.113,14.6,293.5
2019-05-13 08:00,12.68,44.86,0.0,3.373,12.54,280.0
2019-05-13 07:00,12.71,44.03,0.482,6.527,14.4,271.5
2019-05-13 06:00,12.74,42.0,0.943,8.35,14.97,269.3
2019-05-13 05:00,12.77,41.11,1.929,8.12,15.54,270.0
2019-05-13 04:00,12.81,41.11,1.425,10.36,16.07,275.4
2019-05-13 03:00,12.94,41.08,3.42,12.36,20.85,276.0
2019-05-13 02:00,13.47,41.75,4.055,14.04,24.55,276.9
2019-05-13 01:00,12.66,43.15,0.855,13.35,23.74,274.6
2019-05-13 00:00,12.67,42.85,4.055,13.0,23.32,287.5
2019-05-12 23:00,12.67,42.42,0.197,9.24,24.81,291.1
2019-05-12 22:00,12.67,42.84,0.175,11.44,22.75,291.0
2019-05-12 21:00,12.68,42.76,0.132,5.588,20.56,280.9
2019-05-12 20:00,12.69,44.7,4.362,17.23,26.41,288.8
2019-05-12 19:00,12.7,46.57,1.907,17.5,27.09,289.0
2019-05-12 18:00,12.72,48.68,0.329,14.54,25.82,291.9
2019-05-12 17:00,12.75,51.38,0.329,6.852,19.53,296.7
2019-05-12 16:00,12.8,51.26,0.416,7.474,20.89,297.6
2019-05-12 15:00,12.86,53.42,0.0,4.219,13.42,281.8
2019-05-12 14:00,13.28,53.29,0.0,3.993,12.43,278.5
2019-05-12 13:00,12.66,53.76,0.68,13.03,22.69,275.1
2019-05-12 12:00,12.67,50.3,0.0,7.994,21.9,287.3
2019-05-12 11:00,12.67,53.11,0.0,3.067,9.34,277.8
2019-05-12 10:00,12.67,52.07,0.0,3.997,11.29,275.0
2019-05-12 09:00,12.68,49.44,0.066,7.335,16.7,288.3
2019-05-12 08:00,12.68,47.94,0.373,5.942,12.82,279.1
2019-05-12 07:00,12.69,47.68,0.285,6.765,16.33,273.5
2019-05-12 06:00,12.7,47.07,4.055,10.68,18.28,262.6
2019-05-12 05:00,12.73,47.66,4.516,10.58,17.43,266.8
2019-05-12 04:00,12.76,47.62,5.107,11.74,17.69,269.4
2019-05-12 03:00,12.81,47.04,5.239,12.55,18.9,273.3
2019-05-12 02:00,12.91,47.51,7.277,10.28,14.91,272.0
2019-05-12 01:00,13.5,48.9,6.269,9.88,13.0,273.1
2019-05-12 00:00,12.71,49.98,4.932,9.82,14.01,274.2
2019-05-11 23:00,12.71,48.51,6.291,11.54,18.85,262.3
2019-05-11 22:00,12.72,49.18,5.655,14.06,21.42,270.7
2019-05-11 21:00,12.72,51.15,9.21,16.18,23.81,269.0
2019-05-11 20:00,12.72,53.36,10.32,15.48,21.92,274.9
2019-05-11 19:00,12.73,56.43,1.776,13.61,23.52,277.2
2019-05-11 18:00,12.73,59.03,0.789,12.34,23.26,283.3
2019-05-11 17:00,12.73,60.86,1.491,10.61,23.81,290.4
2019-05-11 16:00,12.76,62.06,0.285,7.424,21.99,294.1
2019-05-11 15:00,12.78,62.89,0.11,6.506,19.09,288.5
2019-05-11 14:00,12.83,63.02,0.0,4.527,18.39,298.2
2019-05-11 13:00,13.02,63.36,0.0,3.725,13.17,296.1
2019-05-11 12:00,12.75,63.46,0.0,4.438,13.96,289.5
2019-05-11 11:00,12.75,63.9,0.0,3.199,11.2,282.4
2019-05-11 10:00,12.76,61.87,0.0,2.971,11.4,283.2
2019-05-11 09:00,12.76,60.8,0.0,2.094,7.76,292.8
2019-05-11 08:00,12.76,58.44,0.0,3.448,10.63,296.5
2019-05-11 07:00,12.77,57.7,0.701,5.463,10.04,272.4
2019-05-11 06:00,12.78,58.81,1.096,3.96,9.56,222.1
